date,open,high,low,close,tickvol,vol,spread
2023.01.02,1.07016,1.07017,1.06499,1.06665,16741,0,0
2023.01.03,1.06642,1.06830,1.05196,1.05470,139201,0,0
2023.01.04,1.05465,1.06354,1.05402,1.06030,140651,0,0
2023.01.05,1.06015,1.06315,1.05150,1.05207,126223,0,0
2023.01.06,1.05205,1.06481,1.04832,1.06427,126014,0,0
2023.01.09,1.06394,1.07607,1.06360,1.07318,115286,0,0
2023.01.10,1.07293,1.07593,1.07121,1.07334,111859,0,0
2023.01.11,1.07329,1.07765,1.07252,1.07556,90213,0,0
2023.01.12,1.07535,1.08670,1.07302,1.08515,141238,0,0
2023.01.13,1.08497,1.08678,1.07805,1.08323,113853,0,0
2023.01.16,1.08295,1.08742,1.08016,1.08210,65771,0,0
2023.01.17,1.08197,1.08694,1.07745,1.07876,114006,0,0
2023.01.18,1.07879,1.08874,1.07661,1.07936,147787,0,0
2023.01.19,1.07903,1.08401,1.07822,1.08294,113010,0,0
2023.01.20,1.08291,1.08591,1.08024,1.08557,89418,0,0
2023.01.23,1.08622,1.09267,1.08464,1.08715,99279,0,0
2023.01.24,1.08705,1.08980,1.08352,1.08879,86692,0,0
2023.01.25,1.08856,1.09236,1.08574,1.09147,89198,0,0
2023.01.26,1.09152,1.09294,1.08506,1.08917,84384,0,0
2023.01.27,1.08909,1.09003,1.08378,1.08673,79737,0,0
2023.01.30,1.08618,1.09138,1.08393,1.08500,84809,0,0
2023.01.31,1.08480,1.08750,1.08017,1.08614,90834,0,0
2023.02.01,1.08607,1.10014,1.08523,1.09886,101648,0,0
2023.02.02,1.09870,1.10329,1.08853,1.09099,122316,0,0
2023.02.03,1.09081,1.09402,1.07923,1.07932,116247,0,0
2023.02.06,1.07800,1.07989,1.07095,1.07249,99074,0,0
2023.02.07,1.07242,1.07664,1.06692,1.07267,127157,0,0
2023.02.08,1.07233,1.07609,1.07094,1.07129,88155,0,0
2023.02.09,1.07095,1.07908,1.07083,1.07386,90671,0,0
2023.02.10,1.07361,1.07529,1.06664,1.06782,94108,0,0
2023.02.13,1.06803,1.07300,1.06555,1.07243,73312,0,0
2023.02.14,1.07188,1.08045,1.07068,1.07352,124125,0,0
2023.02.15,1.07360,1.07445,1.06606,1.06864,92966,0,0
2023.02.16,1.06862,1.07225,1.06546,1.06716,105502,0,0
2023.02.17,1.06720,1.06985,1.06128,1.06935,88032,0,0
2023.02.20,1.06848,1.07047,1.06704,1.06853,46733,0,0
2023.02.21,1.06837,1.06983,1.06375,1.06465,86898,0,0
2023.02.22,1.06445,1.06640,1.05992,1.06045,95621,0,0
2023.02.23,1.06036,1.06278,1.05771,1.05971,85675,0,0
2023.02.24,1.05926,1.06143,1.05362,1.05446,105630,0,0
2023.02.27,1.05459,1.06199,1.05330,1.06096,78958,0,0
2023.02.28,1.06084,1.06454,1.05739,1.05741,76441,0,0
2023.03.01,1.05751,1.06916,1.05654,1.06694,94532,0,0
2023.03.02,1.06683,1.06728,1.05765,1.05972,96540,0,0
2023.03.03,1.05966,1.06387,1.05884,1.06328,83347,0,0
2023.03.06,1.06228,1.06945,1.06217,1.06830,76290,0,0
2023.03.07,1.06819,1.06945,1.05460,1.05495,102510,0,0
2023.03.08,1.05485,1.05740,1.05244,1.05442,78974,0,0
2023.03.09,1.05434,1.05913,1.05380,1.05814,65698,0,0
2023.03.10,1.05815,1.07008,1.05740,1.06381,131346,0,0
2023.03.13,1.06934,1.07486,1.06504,1.07286,191578,0,0
2023.03.14,1.07274,1.07496,1.06790,1.07309,139807,0,0
2023.03.15,1.07310,1.07599,1.05160,1.05766,155778,0,0
2023.03.16,1.05757,1.06357,1.05507,1.06115,145541,0,0
2023.03.17,1.06115,1.06854,1.06081,1.06653,99112,0,0
2023.03.20,1.06830,1.07309,1.06313,1.07177,112944,0,0
2023.03.21,1.07177,1.07886,1.07041,1.07667,75277,0,0
2023.03.22,1.07667,1.09125,1.07592,1.08574,94444,0,0
2023.03.23,1.08574,1.09299,1.08242,1.08320,100584,0,0
2023.03.24,1.08320,1.08384,1.07124,1.07601,107212,0,0
2023.03.27,1.07706,1.08001,1.07451,1.07977,73682,0,0
2023.03.28,1.07974,1.08486,1.07934,1.08444,65412,0,0
2023.03.29,1.08454,1.08717,1.08178,1.08444,69762,0,0
2023.03.30,1.08432,1.09263,1.08237,1.09050,70017,0,0
2023.03.31,1.09044,1.09257,1.08363,1.08429,71293,0,0
2023.04.03,1.08398,1.09167,1.07882,1.09031,78371,0,0
2023.04.04,1.09015,1.09733,1.08830,1.09560,73385,0,0
2023.04.05,1.09547,1.09696,1.08911,1.09056,68562,0,0
2023.04.06,1.09063,1.09377,1.08846,1.09192,55836,0,0
2023.04.07,1.09198,1.09240,1.08757,1.08984,23716,0,0
2023.04.10,1.08953,1.09173,1.08313,1.08613,45051,0,0
2023.04.11,1.08599,1.09282,1.08458,1.09131,58069,0,0
2023.04.12,1.09122,1.10004,1.09060,1.09914,61907,0,0
2023.04.13,1.09903,1.10678,1.09766,1.10473,58269,0,0
2023.04.14,1.10462,1.10759,1.09724,1.09946,67756,0,0
2023.04.17,1.09886,1.09998,1.09093,1.09287,59290,0,0
2023.04.18,1.09269,1.09830,1.09202,1.09723,55761,0,0
2023.04.19,1.09728,1.09840,1.09174,1.09558,61815,0,0
2023.04.20,1.09545,1.09898,1.09335,1.09698,61734,0,0
2023.04.21,1.09698,1.09938,1.09379,1.09894,57227,0,0
2023.04.24,1.09885,1.10501,1.09659,1.10446,50008,0,0
2023.04.25,1.10457,1.10670,1.09641,1.09746,59695,0,0
2023.04.26,1.09730,1.10956,1.09604,1.10416,73836,0,0
2023.04.27,1.10382,1.10635,1.09922,1.10284,65397,0,0
2023.04.28,1.10281,1.10450,1.09624,1.10163,82558,0,0
2023.05.01,1.10119,1.10357,1.09644,1.09759,50698,0,0
2023.05.02,1.09755,1.10080,1.09422,1.09993,64726,0,0
2023.05.03,1.09983,1.10916,1.09969,1.10600,73928,0,0
2023.05.04,1.10606,1.10918,1.09862,1.10138,86213,0,0
2023.05.05,1.10105,1.10479,1.09667,1.10182,60430,0,0
2023.05.08,1.10226,1.10538,1.10001,1.10043,45944,0,0
2023.05.09,1.10033,1.10050,1.09411,1.09604,52387,0,0
2023.05.10,1.09606,1.10070,1.09417,1.09830,64984,0,0
2023.05.11,1.09818,1.09981,1.09002,1.09165,69456,0,0
2023.05.12,1.09149,1.09356,1.08478,1.08498,61242,0,0
2023.05.15,1.08530,1.08909,1.08454,1.08741,51089,0,0
2023.05.16,1.08736,1.09047,1.08549,1.08616,59097,0,0
2023.05.17,1.08617,1.08736,1.08103,1.08381,59646,0,0
2023.05.18,1.08377,1.08480,1.07625,1.07711,56757,0,0
2023.05.19,1.07686,1.08288,1.07599,1.08048,69159,0,0
2023.05.22,1.08045,1.08314,1.07956,1.08131,63834,0,0
2023.05.23,1.08110,1.08205,1.07602,1.07709,68646,0,0
2023.05.24,1.07693,1.08014,1.07482,1.07505,76729,0,0
2023.05.25,1.07486,1.07566,1.07074,1.07251,71253,0,0
2023.05.26,1.07242,1.07587,1.07018,1.07258,65979,0,0
2023.05.29,1.07178,1.07436,1.07055,1.07093,26812,0,0
2023.05.30,1.07082,1.07467,1.06726,1.07346,72119,0,0
2023.05.31,1.07330,1.07356,1.06353,1.06885,77074,0,0
2023.06.01,1.06872,1.07686,1.06619,1.07615,66325,0,0
2023.06.02,1.07617,1.07791,1.07052,1.07060,59141,0,0
